01Bfront             
x       y           
[m]     [m]         
0  6.5029795e-009            
4.8924054e-009  6.5949605e-009            
9.7848108e-009  6.6700465e-009            
1.4677216e-008  6.6592749e-009            
1.9569622e-008  6.7372561e-009            
2.4462027e-008  6.8904288e-009            
2.9354432e-008  6.9436366e-009            
3.4246838e-008  6.9643905e-009            
3.9139243e-008  7.0703238e-009            
4.4031648e-008  7.1199891e-009            
4.8924054e-008  7.1414076e-009            
5.3816459e-008  7.1522892e-009            
5.8708865e-008  7.2762183e-009            
6.360127e-008  7.3252635e-009            
6.8493675e-008  7.3142726e-009            
7.3386081e-008  7.3041919e-009            
7.8278486e-008  7.2072073e-009            
8.3170891e-008  7.1386789e-009            
8.8063297e-008  7.1211763e-009            
9.2955702e-008  7.0531154e-009            
9.7848108e-008  6.857046e-009            
1.0274051e-007  6.6434142e-009            
1.0763292e-007  6.5053328e-009            
1.1252532e-007  6.381154e-009            
1.1741773e-007  6.3389851e-009            
1.2231013e-007  6.1342736e-009            
1.2720254e-007  5.9664049e-009            
1.3209495e-007  5.8678509e-009            
1.3698735e-007  5.7341711e-009            
1.4187976e-007  5.640051e-009            
1.4677216e-007  5.6451551e-009            
1.5166457e-007  5.7264614e-009            
1.5655697e-007  5.9045584e-009            
1.6144938e-007  6.0425412e-009            
1.6634178e-007  6.0985438e-009            
1.7123419e-007  6.2190185e-009            
1.7612659e-007  6.3769794e-009            
1.81019e-007  6.4350499e-009            
1.859114e-007  6.4058174e-009            
1.9080381e-007  6.316207e-009            
1.9569622e-007  5.9434969e-009            
2.0058862e-007  6.6090305e-009            
2.0548103e-007  6.8728498e-009            
2.1037343e-007  6.9213881e-009            
2.1526584e-007  6.9374435e-009            
2.2015824e-007  6.967938e-009            
2.2505065e-007  7.0193714e-009            
2.2994305e-007  6.9629968e-009            
2.3483546e-007  6.8606053e-009            
2.3972786e-007  6.5954904e-009            
2.4462027e-007  6.3382869e-009            
2.4951267e-007  6.0342182e-009            
2.5440508e-007  5.879657e-009            
2.5929749e-007  5.9450422e-009            
2.6418989e-007  6.016823e-009            
2.690823e-007  5.9164637e-009            
2.739747e-007  5.7609801e-009            
2.7886711e-007  5.6408294e-009            
2.8375951e-007  5.5403745e-009            
2.8865192e-007  5.5045989e-009            
2.9354432e-007  5.4593899e-009            
2.9843673e-007  5.497838e-009            
3.0332913e-007  5.6566582e-009            
3.0822154e-007  5.7846704e-009            
3.1311394e-007  5.9216193e-009            
3.1800635e-007  5.9470393e-009            
3.2289875e-007  5.8335007e-009            
3.2779116e-007  5.5759694e-009            
3.3268357e-007  5.078526e-009            
3.3757597e-007  5.7592073e-009            
3.4246838e-007  5.9994437e-009            
3.4736078e-007  6.0070832e-009            
3.5225319e-007  5.9611988e-009            
3.5714559e-007  5.9081436e-009            
3.62038e-007  5.9798805e-009            
3.669304e-007  6.0201181e-009            
3.7182281e-007  5.9842886e-009            
3.7671521e-007  5.8963083e-009            
3.8160762e-007  5.8305606e-009            
3.8650002e-007  5.7794336e-009            
3.9139243e-007  5.7307763e-009            
3.9628484e-007  5.7488418e-009            
4.0117724e-007  5.8131502e-009            
4.0606965e-007  5.9339137e-009            
4.1096205e-007  6.2020415e-009            
4.1585446e-007  6.3876739e-009            
4.2074686e-007  6.5141223e-009            
4.2563927e-007  6.4857624e-009            
4.3053167e-007  6.3756041e-009            
4.3542408e-007  6.3759077e-009            
4.4031648e-007  6.4785185e-009            
4.4520889e-007  6.5632325e-009            
4.5010129e-007  6.5876841e-009            
4.549937e-007  6.5837177e-009            
4.5988611e-007  6.6032998e-009            
4.6477851e-007  6.6362702e-009            
4.6967092e-007  6.5905426e-009            
4.7456332e-007  6.5777049e-009            
4.7945573e-007  6.4894181e-009            
4.8434813e-007  6.3355729e-009            
4.8924054e-007  6.2206831e-009            
4.9413294e-007  6.2501494e-009            
4.9902535e-007  6.3581415e-009            
5.0391775e-007  6.4092466e-009            
5.0881016e-007  6.3611957e-009            
5.1370256e-007  6.2877618e-009            
5.1859497e-007  6.2640451e-009            
5.2348738e-007  6.1959843e-009            
5.2837978e-007  6.1020476e-009            
5.3327219e-007  6.0226119e-009            
5.3816459e-007  6.0378053e-009            
5.43057e-007  6.0840421e-009            
5.479494e-007  6.0440769e-009            
5.5284181e-007  6.007275e-009            
5.5773421e-007  6.0721932e-009            
5.6262662e-007  6.1341668e-009            
5.6751902e-007  6.0733937e-009            
5.7241143e-007  6.1450642e-009            
5.7730383e-007  6.1791955e-009            
5.8219624e-007  6.2517365e-009            
5.8708865e-007  6.1536343e-009            
5.9198105e-007  5.8412565e-009            
5.9687346e-007  5.5998399e-009            
6.0176586e-007  5.4378141e-009            
6.0665827e-007  5.2946851e-009            
6.1155067e-007  5.1092452e-009            
6.1644308e-007  4.9620132e-009            
6.2133548e-007  4.7800722e-009            
6.2622789e-007  4.6561627e-009            
6.3112029e-007  4.614121e-009            
6.360127e-007  4.574704e-009            
6.409051e-007  4.3583405e-009            
6.4579751e-007  4.1164691e-009            
6.5068992e-007  3.9983012e-009            
6.5558232e-007  3.9792459e-009            
6.6047473e-007  4.0006743e-009            
6.6536713e-007  4.00227e-009            
6.7025954e-007  4.1133736e-009            
6.7515194e-007  4.2730526e-009            
6.8004435e-007  4.20958e-009            
6.8493675e-007  4.0935795e-009            
6.8982916e-007  4.066671e-009            
6.9472156e-007  3.8772897e-009            
6.9961397e-007  4.1523478e-009            
