01Dfront             
x       y           
[m]     [m]         
0  6.4582935e-009            
4.8923679e-009  6.2750587e-009            
9.7847358e-009  6.1430967e-009            
1.4677104e-008  5.8511489e-009            
1.9569472e-008  5.5682392e-009            
2.446184e-008  5.297295e-009            
2.9354207e-008  5.1315396e-009            
3.4246575e-008  5.1772133e-009            
3.9138943e-008  5.3221356e-009            
4.4031311e-008  5.3745737e-009            
4.8923679e-008  5.3688041e-009            
5.3816047e-008  5.3405813e-009            
5.8708415e-008  5.3863971e-009            
6.3600783e-008  5.4504028e-009            
6.8493151e-008  5.4233453e-009            
7.3385519e-008  5.4898521e-009            
7.8277886e-008  5.6542149e-009            
8.3170254e-008  5.6536749e-009            
8.8062622e-008  5.6428178e-009            
9.295499e-008  5.6849672e-009            
9.7847358e-008  5.6899125e-009            
1.0273973e-007  5.7596878e-009            
1.0763209e-007  5.8456635e-009            
1.1252446e-007  5.9993113e-009            
1.1741683e-007  5.9336287e-009            
1.223092e-007  5.6898841e-009            
1.2720157e-007  5.4327813e-009            
1.3209393e-007  5.4421037e-009            
1.369863e-007  5.4838267e-009            
1.4187867e-007  5.3180429e-009            
1.4677104e-007  5.3504721e-009            
1.5166341e-007  5.3965437e-009            
1.5655577e-007  5.318185e-009            
1.6144814e-007  5.4980376e-009            
1.6634051e-007  5.7842158e-009            
1.7123288e-007  6.0139769e-009            
1.7612524e-007  6.1900209e-009            
1.8101761e-007  6.1955348e-009            
1.8590998e-007  6.1020842e-009            
1.9080235e-007  6.0989862e-009            
1.9569472e-007  6.2059655e-009            
2.0058708e-007  6.0412049e-009            
2.0547945e-007  5.9131651e-009            
2.1037182e-007  5.9289675e-009            
2.1526419e-007  6.0780962e-009            
2.2015656e-007  6.395851e-009            
2.2504892e-007  6.8060615e-009            
2.2994129e-007  6.9497048e-009            
2.3483366e-007  6.8032477e-009            
2.3972603e-007  6.7918222e-009            
2.446184e-007  6.9312307e-009            
2.4951076e-007  6.973238e-009            
2.5440313e-007  6.8374959e-009            
2.592955e-007  6.7716428e-009            
2.6418787e-007  6.7058465e-009            
2.6908023e-007  6.7017254e-009            
2.739726e-007  6.6832797e-009            
2.7886497e-007  6.6058874e-009            
2.8375734e-007  6.3561174e-009            
2.8864971e-007  6.190163e-009            
2.9354207e-007  6.0208833e-009            
2.9843444e-007  5.9104934e-009            
3.0332681e-007  5.9516481e-009            
3.0821918e-007  6.1874914e-009            
3.1311155e-007  6.3835728e-009            
3.1800391e-007  6.451387e-009            
3.2289628e-007  6.5284951e-009            
3.2778865e-007  6.6264647e-009            
3.3268102e-007  6.8335453e-009            
3.3757339e-007  6.9236421e-009            
3.4246575e-007  7.0029671e-009            
3.4735812e-007  7.1873671e-009            
3.5225049e-007  6.9722716e-009            
3.5714286e-007  6.5754193e-009            
3.6203523e-007  6.2454433e-009            
3.6692759e-007  6.1119465e-009            
3.7181996e-007  5.8983858e-009            
3.7671233e-007  5.6242015e-009            
3.816047e-007  5.5351279e-009            
3.8649706e-007  5.3645692e-009            
3.9138943e-007  5.1316817e-009            
3.962818e-007  5.0360995e-009            
4.0117417e-007  5.1793165e-009            
4.0606654e-007  5.4881752e-009            
4.109589e-007  5.6521117e-009            
4.1585127e-007  5.650719e-009            
4.2074364e-007  5.6593308e-009            
4.2563601e-007  5.6319607e-009            
4.3052838e-007  5.7871716e-009            
4.3542074e-007  6.1414198e-009            
4.4031311e-007  6.2640311e-009            
4.4520548e-007  6.2176753e-009            
4.5009785e-007  6.2022991e-009            
4.5499022e-007  5.9971796e-009            
4.5988258e-007  5.8821854e-009            
4.6477495e-007  5.9595777e-009            
4.6966732e-007  5.687923e-009            
4.7455969e-007  6.2968866e-009            
4.7945205e-007  6.3284915e-009            
4.8434442e-007  6.3126606e-009            
4.8923679e-007  6.203436e-009            
4.9412916e-007  6.0349805e-009            
4.9902153e-007  5.9103797e-009            
5.0391389e-007  5.9480101e-009            
5.0880626e-007  5.96674e-009            
5.1369863e-007  5.9334866e-009            
5.18591e-007  5.9659158e-009            
5.2348337e-007  5.9932574e-009            
5.2837573e-007  6.1229457e-009            
5.332681e-007  6.3664061e-009            
5.3816047e-007  6.0728951e-009            
5.4305284e-007  5.7361547e-009            
5.4794521e-007  5.7188174e-009            
5.5283757e-007  5.8707599e-009            
5.5772994e-007  6.032451e-009            
5.6262231e-007  6.0762773e-009            
5.6751468e-007  6.0149716e-009            
5.7240705e-007  5.9037575e-009            
5.7729941e-007  5.7578404e-009            
5.8219178e-007  5.7299303e-009            
5.8708415e-007  5.6062959e-009            
5.9197652e-007  5.3947247e-009            
5.9686888e-007  5.2181122e-009            
6.0176125e-007  5.2426117e-009            
6.0665362e-007  5.2637574e-009            
6.1154599e-007  5.2664291e-009            
6.1643836e-007  5.3242388e-009            
6.2133072e-007  5.6137708e-009            
6.2622309e-007  5.917002e-009            
6.3111546e-007  5.9663421e-009            
6.3600783e-007  5.9395404e-009            
6.409002e-007  5.9822867e-009            
6.4579256e-007  6.091085e-009            
6.5068493e-007  6.040608e-009            
6.555773e-007  5.9474417e-009            
6.6046967e-007  5.9891647e-009            
6.6536204e-007  5.8094258e-009            
6.702544e-007  5.6089959e-009            
6.7514677e-007  5.3479141e-009            
6.8003914e-007  5.1873599e-009            
6.8493151e-007  5.1956874e-009            
6.8982387e-007  5.198217e-009            
6.9471624e-007  4.996906e-009            
6.9960861e-007  4.9446101e-009            
7.0450098e-007  5.0197571e-009            
7.0939335e-007  5.0915219e-009            
7.1428571e-007  5.4309339e-009            
7.1917808e-007  5.5505041e-009            
7.2407045e-007  5.4168652e-009            
7.2896282e-007  5.476636e-009            
7.3385519e-007  6.2459833e-009            
7.3874755e-007  6.5108736e-009            
7.4363992e-007  6.551204e-009            
7.4853229e-007  6.3942878e-009            
7.5342466e-007  6.2027539e-009            
7.5831703e-007  6.1625656e-009            
7.6320939e-007  6.1753838e-009            
7.6810176e-007  6.1925789e-009            
7.7299413e-007  6.2189542e-009            
7.778865e-007  6.168591e-009            
7.8277886e-007  5.9360445e-009            
7.8767123e-007  6.0146874e-009            
7.925636e-007  5.7271166e-009            
7.9745597e-007  5.57813e-009            
8.0234834e-007  5.5948988e-009            
8.072407e-007  5.7316072e-009            
8.1213307e-007  5.8995226e-009            
8.1702544e-007  5.9733622e-009            
8.2191781e-007  5.8673777e-009            
8.2681018e-007  5.8647061e-009            
8.3170254e-007  5.8886656e-009            
8.3659491e-007  5.9093566e-009            
8.4148728e-007  5.9777676e-009            
8.4637965e-007  5.8448393e-009            
8.5127202e-007  5.7900991e-009            
8.5616438e-007  5.7586647e-009            
8.6105675e-007  5.8276157e-009            
8.6594912e-007  5.8676619e-009            
8.7084149e-007  5.8889498e-009            
8.7573386e-007  5.7228817e-009            
8.8062622e-007  5.330719e-009            
8.8551859e-007  4.9045923e-009            
8.9041096e-007  4.7323283e-009            
8.9530333e-007  4.6914579e-009            
9.0019569e-007  4.7016044e-009            
9.0508806e-007  4.7178048e-009            
9.0998043e-007  4.662553e-009            
9.148728e-007  4.494666e-009            
9.1976517e-007  4.0114401e-009            
9.2465753e-007  3.9309498e-009            
9.295499e-007  4.6619846e-009            
9.3444227e-007  5.2364157e-009            
9.3933464e-007  5.5808016e-009            
9.4422701e-007  5.7189311e-009            
9.4911937e-007  5.6997465e-009            
9.5401174e-007  5.6848251e-009            
9.5890411e-007  5.5899534e-009            
9.6379648e-007  5.6870704e-009            
9.6868885e-007  5.9588672e-009            
9.7358121e-007  6.1425283e-009            
9.7847358e-007  6.253174e-009            
9.8336595e-007  6.3590448e-009            
9.8825832e-007  6.5125505e-009            
9.9315068e-007  6.6405619e-009            
9.9804305e-007  6.8849886e-009            
1.0029354e-006  7.1302679e-009            
1.0078278e-006  6.9811392e-009            
1.0127202e-006  6.6740995e-009            
1.0176125e-006  6.5224128e-009            
1.0225049e-006  6.4736696e-009            
1.0273973e-006  6.6471841e-009            
1.0322896e-006  6.7756218e-009            
1.037182e-006  6.8480688e-009            
1.0420744e-006  6.9430541e-009            
1.0469667e-006  7.1027841e-009            
1.0518591e-006  7.1891861e-009            
1.0567515e-006  7.0504882e-009            
1.0616438e-006  7.0903923e-009            
1.0665362e-006  7.2857347e-009            
1.0714286e-006  7.4832371e-009            
1.0763209e-006  7.5606579e-009            
1.0812133e-006  7.62887e-009            
1.0861057e-006  7.5235675e-009            
1.090998e-006  7.4118987e-009            
1.0958904e-006  7.3628428e-009            
1.1007828e-006  7.397972e-009            
1.1056751e-006  7.3511615e-009            
1.1105675e-006  7.3285946e-009            
1.1154599e-006  7.2921011e-009            
1.1203523e-006  7.3258093e-009            
1.1252446e-006  7.3858359e-009            
1.130137e-006  7.4658999e-009            
1.1350294e-006  7.5551441e-009            
1.1399217e-006  7.7188247e-009            
1.1448141e-006  7.8971425e-009            
1.1497065e-006  7.9324991e-009            
1.1545988e-006  7.8941582e-009            
1.1594912e-006  7.981555e-009            
1.1643836e-006  8.0906659e-009            
1.1692759e-006  8.1248004e-009            
1.1741683e-006  8.1814449e-009            
1.1790607e-006  8.1666371e-009            
1.183953e-006  8.0019902e-009            
1.1888454e-006  7.9470226e-009            
1.1937378e-006  7.8359221e-009            
1.1986301e-006  7.7942275e-009            
1.2035225e-006  7.8410096e-009            
1.2084149e-006  7.829442e-009            
1.2133072e-006  7.8642586e-009            
1.2181996e-006  7.7857578e-009            
1.223092e-006  7.5992546e-009            
1.2279843e-006  7.4857667e-009            
1.2328767e-006  7.3248145e-009            
1.2377691e-006  7.2249975e-009            
1.2426614e-006  7.1774764e-009            
1.2475538e-006  7.2109003e-009            
1.2524462e-006  7.2843704e-009            
1.2573386e-006  7.4082322e-009            
1.2622309e-006  7.4389845e-009            
1.2671233e-006  7.4468858e-009            
1.2720157e-006  7.4626598e-009            
1.276908e-006  7.4467437e-009            
1.2818004e-006  7.3587785e-009            
1.2866928e-006  7.3738704e-009            
1.2915851e-006  7.4505238e-009            
1.2964775e-006  7.3996489e-009            
1.3013699e-006  7.2521971e-009            
1.3062622e-006  7.26547e-009            
1.3111546e-006  7.3111153e-009            
1.316047e-006  7.2730586e-009            
1.3209393e-006  7.024255e-009            
1.3258317e-006  6.8398833e-009            
1.3307241e-006  6.6712857e-009            
1.3356164e-006  6.7460064e-009            
1.3405088e-006  7.0249939e-009            
1.3454012e-006  7.2678574e-009            
1.3502935e-006  7.3302999e-009            
1.3551859e-006  7.3520141e-009            
1.3600783e-006  7.3910371e-009            
1.3649706e-006  7.4904563e-009            
1.369863e-006  7.5716287e-009            
1.3747554e-006  7.6019546e-009            
1.3796477e-006  7.6756805e-009            
1.3845401e-006  7.7086497e-009            
1.3894325e-006  7.7269817e-009            
1.3943249e-006  7.9373024e-009            
1.3992172e-006  7.8091489e-009            
1.4041096e-006  7.3833064e-009            
1.409002e-006  6.8394854e-009            
1.4138943e-006  7.0913586e-009            
1.4187867e-006  7.1680688e-009            
1.4236791e-006  7.3126785e-009            
1.4285714e-006  7.5437185e-009            
1.4334638e-006  7.7017432e-009            
1.4383562e-006  7.8568121e-009            
1.4432485e-006  7.9625408e-009            
1.4481409e-006  7.9935489e-009            
1.4530333e-006  8.0558493e-009            
1.4579256e-006  7.998608e-009            
1.462818e-006  7.9429299e-009            
1.4677104e-006  7.8610469e-009            
1.4726027e-006  7.7280902e-009            
1.4774951e-006  7.6584854e-009            
1.4823875e-006  7.5852995e-009            
1.4872798e-006  7.6112485e-009            
1.4921722e-006  7.6687741e-009            
1.4970646e-006  7.6746858e-009            
1.5019569e-006  7.6246351e-009            
1.5068493e-006  7.5812352e-009            
1.5117417e-006  7.5713444e-009            
1.5166341e-006  7.5922344e-009            
1.5215264e-006  7.4807076e-009            
1.5264188e-006  7.3808906e-009            
1.5313112e-006  7.4362845e-009            
1.5362035e-006  7.2987518e-009            
1.5410959e-006  7.0712076e-009            
1.5459883e-006  6.9148882e-009            
1.5508806e-006  6.8335453e-009            
1.555773e-006  6.7464327e-009            
1.5606654e-006  6.7048518e-009            
1.5655577e-006  6.8104384e-009            
1.5704501e-006  6.9320834e-009            
1.5753425e-006  7.033151e-009            
1.5802348e-006  6.997908e-009            
1.5851272e-006  7.0603505e-009            
1.5900196e-006  6.9281043e-009            
1.5949119e-006  6.8379222e-009            
1.5998043e-006  6.8494614e-009            
1.6046967e-006  6.8775137e-009            
1.609589e-006  6.9568955e-009            
1.6144814e-006  7.0948829e-009            
1.6193738e-006  7.245319e-009            
1.6242661e-006  7.3935951e-009            
1.6291585e-006  7.4915647e-009            
1.6340509e-006  7.5391995e-009            
1.6389432e-006  7.4747959e-009            
1.6438356e-006  7.4409741e-009            
1.648728e-006  7.3914634e-009            
1.6536204e-006  7.4680315e-009            
1.6585127e-006  7.3231092e-009            
1.6634051e-006  7.2192279e-009            
1.6682975e-006  7.1440809e-009            
1.6731898e-006  6.9774444e-009            
1.6780822e-006  6.9217947e-009            
1.6829746e-006  6.7943517e-009            
1.6878669e-006  6.5472534e-009            
1.6927593e-006  6.4829635e-009            
1.6976517e-006  6.4801498e-009            
1.702544e-006  6.3876939e-009            
1.7074364e-006  6.4805761e-009            
1.7123288e-006  6.6242194e-009            
1.7172211e-006  6.7215922e-009            
1.7221135e-006  6.6956716e-009            
1.7270059e-006  6.6670509e-009            
1.7318982e-006  6.4731012e-009            
1.7367906e-006  6.2875927e-009            
1.741683e-006  6.1343428e-009            
1.7465753e-006  6.1700121e-009            
1.7514677e-006  6.2551635e-009            
1.7563601e-006  6.3735683e-009            
1.7612524e-006  6.5657275e-009            
1.7661448e-006  6.7878716e-009            
1.7710372e-006  6.9938437e-009            
1.7759295e-006  6.9690032e-009            
1.7808219e-006  6.8212671e-009            
1.7857143e-006  6.8566521e-009            
1.7906067e-006  6.9485679e-009            
1.795499e-006  6.8191639e-009            
1.8003914e-006  6.8652639e-009            
1.8052838e-006  6.8602048e-009            
1.8101761e-006  6.6423809e-009            
1.8150685e-006  6.6329449e-009            
1.8199609e-006  6.7206258e-009            
1.8248532e-006  6.612936e-009            
1.8297456e-006  6.5332983e-009            
1.834638e-006  6.5307404e-009            
1.8395303e-006  6.5311667e-009            
1.8444227e-006  6.3810432e-009            
1.8493151e-006  6.2978813e-009            
1.8542074e-006  6.289838e-009            
1.8590998e-006  6.2399295e-009            
1.8639922e-006  6.2887295e-009            
1.8688845e-006  6.3263599e-009            
1.8737769e-006  6.4308097e-009            
1.8786693e-006  6.425438e-009            
1.8835616e-006  6.5434449e-009            
1.888454e-006  6.4764833e-009            
1.8933464e-006  6.4619599e-009            
1.8982387e-006  6.5483619e-009            
1.9031311e-006  6.5348615e-009            
1.9080235e-006  6.4320602e-009            
1.9129159e-006  6.325223e-009            
1.9178082e-006  6.0346963e-009            
1.9227006e-006  6.0480829e-009            
1.927593e-006  6.1198477e-009            
1.9324853e-006  6.30763e-009            
1.9373777e-006  6.5009829e-009            
1.9422701e-006  6.6215478e-009            
1.9471624e-006  6.7350072e-009            
1.9520548e-006  6.8395991e-009            
1.9569472e-006  6.9013595e-009            
1.9618395e-006  6.9140356e-009            
1.9667319e-006  6.9943837e-009            
1.9716243e-006  6.8835959e-009            
1.9765166e-006  6.4426331e-009            
1.981409e-006  6.33284e-009            
1.9863014e-006  6.0655623e-009            
1.9911937e-006  5.7085288e-009            
1.9960861e-006  5.4515112e-009            
2.0009785e-006  5.331998e-009            
2.0058708e-006  5.4340603e-009            
2.0107632e-006  5.8056457e-009            
2.0156556e-006  6.0609295e-009            
2.0205479e-006  6.2010486e-009            
2.0254403e-006  6.37624e-009            
2.0303327e-006  6.3398886e-009            
2.035225e-006  6.2286745e-009            
2.0401174e-006  6.1571939e-009            
2.0450098e-006  5.9831109e-009            
2.0499022e-006  5.4243117e-009            
2.0547945e-006  4.556e-009            
2.0596869e-006  4.5093316e-009            
2.0645793e-006  4.5225761e-009            
2.0694716e-006  4.2630575e-009            
2.074364e-006  4.0630255e-009            
2.0792564e-006  4.1440842e-009            
2.0841487e-006  4.2664396e-009            
2.0890411e-006  4.4618389e-009            
2.0939335e-006  4.4695696e-009            
2.0988258e-006  4.3185935e-009            
2.1037182e-006  4.2232955e-009            
2.1086106e-006  4.1564761e-009            
2.1135029e-006  4.3208388e-009            
2.1183953e-006  4.4943533e-009            
2.1232877e-006  4.6238995e-009            
2.12818e-006  4.7895412e-009            
2.1330724e-006  4.8912057e-009            
2.1379648e-006  4.8538311e-009            
2.1428571e-006  4.6181583e-009            
2.1477495e-006  4.9778919e-009            
2.1526419e-006  5.1786344e-009            
2.1575342e-006  5.2699534e-009            
2.1624266e-006  5.4054112e-009            
2.167319e-006  5.6819829e-009            
2.1722114e-006  5.8021214e-009            
2.1771037e-006  5.7741829e-009            
2.1819961e-006  5.8156218e-009            
2.1868885e-006  5.9522165e-009            
2.1917808e-006  6.1000947e-009            
2.1966732e-006  6.2242975e-009            
2.2015656e-006  6.4088397e-009            
2.2064579e-006  6.3950267e-009            
2.2113503e-006  6.4264327e-009            
2.2162427e-006  6.5025461e-009            
2.221135e-006  6.5610664e-009            
2.2260274e-006  6.6013683e-009            
2.2309198e-006  6.6023631e-009            
2.2358121e-006  6.5759878e-009            
2.2407045e-006  6.4838162e-009            
2.2455969e-006  6.4210894e-009            
2.2504892e-006  6.5073493e-009            
2.2553816e-006  6.5906818e-009            
2.260274e-006  6.6601444e-009            
2.2651663e-006  6.9237842e-009            
2.2700587e-006  7.073055e-009            
2.2749511e-006  7.2049886e-009            
2.2798434e-006  7.2735133e-009            
2.2847358e-006  7.262912e-009            
2.2896282e-006  7.2864736e-009            
2.2945205e-006  7.3274862e-009            
2.2994129e-006  7.3370927e-009            
2.3043053e-006  7.4447826e-009            
2.3091977e-006  7.6099695e-009            
2.31409e-006  7.7154141e-009            
2.3189824e-006  7.6488789e-009            
2.3238748e-006  7.5062303e-009            
2.3287671e-006  7.4967943e-009            
2.3336595e-006  7.4365971e-009            
2.3385519e-006  7.524136e-009            
2.3434442e-006  7.5651485e-009            
2.3483366e-006  7.62887e-009            
2.353229e-006  7.7609457e-009            
2.3581213e-006  7.8166238e-009            
2.3630137e-006  7.8531457e-009            
2.3679061e-006  7.9434983e-009            
2.3727984e-006  8.0812015e-009            
2.3776908e-006  8.3001339e-009            
2.3825832e-006  8.444772e-009            
2.3874755e-006  8.3035161e-009            
2.3923679e-006  8.3238376e-009            
2.3972603e-006  8.2967517e-009            
2.4021526e-006  8.1908809e-009            
2.407045e-006  8.1762437e-009            
2.4119374e-006  8.1184339e-009            
2.4168297e-006  8.001706e-009            
2.4217221e-006  7.7578477e-009            
2.4266145e-006  7.5672517e-009            
2.4315068e-006  7.4955153e-009            
2.4363992e-006  7.5127105e-009            
2.4412916e-006  7.5270918e-009            
2.446184e-006  7.4336128e-009            
2.4510763e-006  7.4096533e-009            
2.4559687e-006  7.4621198e-009            
2.4608611e-006  7.2141688e-009            
2.4657534e-006  7.0693886e-009            
2.4706458e-006  7.3298736e-009            
2.4755382e-006  7.3490298e-009            
2.4804305e-006  7.1122201e-009            
