03C             
x       y           
[m]     [m]         
0  7.3728756e-009            
4.8923773e-009  7.2908161e-009            
9.7847545e-009  7.2101432e-009            
1.4677132e-008  7.1778241e-009            
1.9569509e-008  7.1933645e-009            
2.4461886e-008  7.0815173e-009            
2.9354264e-008  6.8111965e-009            
3.4246641e-008  6.2704497e-009            
3.9139018e-008  5.7400061e-009            
4.4031395e-008  5.7990899e-009            
4.8923773e-008  6.3449732e-009            
5.381615e-008  6.5752426e-009            
5.8708527e-008  6.3826495e-009            
6.3600905e-008  6.310485e-009            
6.8493282e-008  6.3024697e-009            
7.3385659e-008  6.2587819e-009            
7.8278036e-008  6.218368e-009            
8.3170414e-008  6.1499976e-009            
8.8062791e-008  6.2541841e-009            
9.2955168e-008  6.2685307e-009            
9.7847545e-008  6.1439451e-009            
1.0273992e-007  6.0634112e-009            
1.076323e-007  6.0938075e-009            
1.1252468e-007  6.2248017e-009            
1.1741705e-007  6.4086467e-009            
1.2230943e-007  6.7130607e-009            
1.2720181e-007  6.9198107e-009            
1.3209419e-007  6.9242703e-009            
1.3698656e-007  6.9257367e-009            
1.4187894e-007  6.8911367e-009            
1.4677132e-007  6.7332769e-009            
1.516637e-007  6.3052684e-009            
1.5655607e-007  6.0805159e-009            
1.6144845e-007  6.1925939e-009            
1.6634083e-007  6.5632251e-009            
1.712332e-007  6.8466528e-009            
1.7612558e-007  6.9170003e-009            
1.8101796e-007  6.7643021e-009            
1.8591034e-007  6.5634509e-009            
1.9080271e-007  6.3130107e-009            
1.9569509e-007  6.4037271e-009            
2.0058747e-007  6.4305677e-009            
2.0547985e-007  6.3068778e-009            
2.1037222e-007  6.1707223e-009            
2.152646e-007  5.8797781e-009            
2.2015698e-007  5.278983e-009            
2.2504935e-007  5.5660952e-009            
2.2994173e-007  6.1090863e-009            
2.3483411e-007  6.4052633e-009            
2.3972649e-007  6.4311865e-009            
2.4461886e-007  6.4292591e-009            
2.4951124e-007  6.6838519e-009            
2.5440362e-007  6.7880226e-009            
2.59296e-007  6.7960888e-009            
2.6418837e-007  6.7374616e-009            
2.6908075e-007  6.6169279e-009            
2.7397313e-007  6.4507905e-009            
2.788655e-007  6.0367949e-009            
2.8375788e-007  5.9527382e-009            
2.8865026e-007  6.22815e-009            
2.9354264e-007  6.4082751e-009            
2.9843501e-007  6.5753897e-009            
3.0332739e-007  6.6889539e-009            
3.0821977e-007  6.6265465e-009            
3.1311215e-007  6.3942437e-009            
3.1800452e-007  6.2182511e-009            
3.228969e-007  6.30338e-009            
3.2778928e-007  6.2858534e-009            
3.3268165e-007  6.2035483e-009            
3.3757403e-007  6.197655e-009            
3.4246641e-007  6.1508644e-009            
3.4735879e-007  6.0075075e-009            
3.5225116e-007  6.0493588e-009            
3.5714354e-007  6.1327715e-009            
3.6203592e-007  6.2026533e-009            
3.669283e-007  6.2045962e-009            
3.7182067e-007  6.204956e-009            
3.7671305e-007  6.2081968e-009            
3.8160543e-007  6.0014154e-009            
3.864978e-007  5.9256837e-009            
3.9139018e-007  5.767163e-009            
3.9628256e-007  5.6552655e-009            
4.0117494e-007  5.633559e-009            
4.0606731e-007  5.6600795e-009            
4.1095969e-007  5.6099339e-009            
4.1585207e-007  5.5642409e-009            
4.2074445e-007  5.4772926e-009            
4.2563682e-007  5.4672024e-009            
4.305292e-007  5.3741715e-009            
4.3542158e-007  5.137054e-009            
4.4031395e-007  5.1611873e-009            
4.4520633e-007  5.2628448e-009            
4.5009871e-007  5.2839502e-009            
4.5499109e-007  5.2286523e-009            
4.5988346e-007  5.1662149e-009            
4.6477584e-007  5.0578123e-009            
4.6966822e-007  4.946285e-009            
4.745606e-007  4.9610986e-009            
4.7945297e-007  5.0227125e-009            
4.8434535e-007  5.1347764e-009            
4.8923773e-007  5.1959758e-009            
4.941301e-007  5.2720312e-009            
4.9902248e-007  5.3876904e-009            
5.0391486e-007  5.4811397e-009            
5.0880724e-007  5.5101031e-009            
5.1369961e-007  5.4948999e-009            
5.1859199e-007  5.2701435e-009            
5.2348437e-007  4.9776707e-009            
5.2837675e-007  4.5135767e-009            
5.3326912e-007  3.9969283e-009            
5.381615e-007  3.7606827e-009            
5.4305388e-007  3.8567526e-009            
5.4794625e-007  4.3700699e-009            
5.5283863e-007  4.7134892e-009            
5.5773101e-007  4.6957721e-009            
5.6262339e-007  4.5766535e-009            
5.6751576e-007  4.4676859e-009            
5.7240814e-007  4.5243431e-009            
5.7730052e-007  4.7997455e-009            
5.821929e-007  5.2685432e-009            
5.8708527e-007  5.8075142e-009            
5.9197765e-007  6.0754995e-009            
5.9687003e-007  6.0008785e-009            
6.017624e-007  5.8663586e-009            
6.0665478e-007  5.7479869e-009            
6.1154716e-007  5.6987928e-009            
6.1643954e-007  5.7111439e-009            
6.2133191e-007  5.7670963e-009            
6.2622429e-007  5.7951595e-009            
6.3111667e-007  5.8097214e-009            
6.3600905e-007  5.8030113e-009            
6.4090142e-007  5.7429962e-009            
6.457938e-007  5.7291035e-009            
6.5068618e-007  5.7143801e-009            
6.5557855e-007  5.5800624e-009            
6.6047093e-007  5.2794871e-009            
6.6536331e-007  5.2295994e-009            
6.7025569e-007  5.3730331e-009            
6.7514806e-007  5.2474953e-009            
6.8004044e-007  5.0010012e-009            
6.8493282e-007  5.0403939e-009            
6.898252e-007  5.2422068e-009            
6.9471757e-007  5.544266e-009            
6.9960995e-007  5.7853044e-009            
7.0450233e-007  5.9599762e-009            
7.093947e-007  6.0759629e-009            
7.1428708e-007  6.0758712e-009            
7.1917946e-007  5.927089e-009            
7.2407184e-007  5.7844888e-009            
7.2896421e-007  5.7776149e-009            
7.3385659e-007  5.6807566e-009            
7.3874897e-007  5.5274913e-009            
7.4364135e-007  5.3959997e-009            
7.4853372e-007  5.3782015e-009            
7.534261e-007  5.4483514e-009            
7.5831848e-007  5.5257375e-009            
7.6321085e-007  5.6493024e-009            
7.6810323e-007  5.6632619e-009            
7.7299561e-007  5.4881295e-009            
7.7788799e-007  5.0779975e-009            
7.8278036e-007  5.0730213e-009            
7.8767274e-007  5.3603998e-009            
7.9256512e-007  5.4832602e-009            
7.974575e-007  5.5013113e-009            
8.0234987e-007  5.3841195e-009            
8.0724225e-007  5.2658584e-009            
8.1213463e-007  5.2299375e-009            
8.17027e-007  5.2097073e-009            
8.2191938e-007  5.2608903e-009            
8.2681176e-007  5.3868851e-009            
8.3170414e-007  5.5224666e-009            
8.3659651e-007  5.6306116e-009            
8.4148889e-007  5.7307459e-009            
8.4638127e-007  5.7338211e-009            
8.5127365e-007  5.7756321e-009            
8.5616602e-007  5.9107461e-009            
8.610584e-007  5.998039e-009            
8.6595078e-007  6.0455747e-009            
8.7084315e-007  6.1575174e-009            
8.7573553e-007  6.1040392e-009            
8.8062791e-007  5.9835068e-009            
8.8552029e-007  5.9192361e-009            
8.9041266e-007  5.9302411e-009            
8.9530504e-007  5.9908919e-009            
9.0019742e-007  6.0944557e-009            
9.050898e-007  6.0743351e-009            
9.0998217e-007  6.1187071e-009            
9.1487455e-007  6.1592232e-009            
9.1976693e-007  6.0985251e-009            
9.246593e-007  6.106662e-009            
9.2955168e-007  6.0789351e-009            
9.3444406e-007  6.0906847e-009            
9.3933644e-007  6.1665034e-009            
9.4422881e-007  6.2219307e-009            
9.4912119e-007  6.1465092e-009            
9.5401357e-007  6.0205179e-009            
9.5890595e-007  5.7911219e-009            
9.6379832e-007  5.4582599e-009            
9.686907e-007  5.0537495e-009            
9.7358308e-007  4.6498574e-009            
9.7847545e-007  4.3948965e-009            
9.8336783e-007  4.3324237e-009            
9.8826021e-007  4.2840377e-009            
9.9315259e-007  4.6583563e-009            
9.9804496e-007  4.9390329e-009            
1.0029373e-006  5.0111484e-009            
1.0078297e-006  5.0123117e-009            
1.0127221e-006  5.0243837e-009            
1.0176145e-006  5.1005945e-009            
1.0225069e-006  5.2024444e-009            
1.0273992e-006  5.2916979e-009            
1.0322916e-006  5.481231e-009            
1.037184e-006  5.7189664e-009            
1.0420764e-006  5.8678374e-009            
1.0469687e-006  5.8580107e-009            
1.0518611e-006  5.9238358e-009            
1.0567535e-006  5.9726696e-009            
1.0616459e-006  5.9499136e-009            
1.0665382e-006  5.8557909e-009            
1.0714306e-006  5.8327195e-009            
1.076323e-006  5.7345504e-009            
1.0812154e-006  5.3018524e-009            
1.0861078e-006  4.9458411e-009            
1.0910001e-006  5.1533503e-009            
1.0958925e-006  5.591887e-009            
1.1007849e-006  5.5014278e-009            
1.1056773e-006  5.2192303e-009            
1.1105696e-006  5.2338292e-009            
1.115462e-006  5.3065315e-009            
1.1203544e-006  5.3259315e-009            
1.1252468e-006  5.4162792e-009            
1.1301392e-006  5.3374678e-009            
1.1350315e-006  5.3315305e-009            
1.1399239e-006  5.4131317e-009            
1.1448163e-006  5.342756e-009            
1.1497087e-006  5.1674277e-009            
1.154601e-006  5.1073004e-009            
1.1594934e-006  5.1107066e-009            
1.1643858e-006  5.0752685e-009            
1.1692782e-006  4.955892e-009            
1.1741705e-006  4.8781931e-009            
1.1790629e-006  4.8584432e-009            
1.1839553e-006  4.9578664e-009            
1.1888477e-006  5.144711e-009            
1.1937401e-006  5.400986e-009            
1.1986324e-006  5.6044792e-009            
1.2035248e-006  5.7410542e-009            
1.2084172e-006  5.8236067e-009            
1.2133096e-006  5.7615419e-009            
1.2182019e-006  5.5133462e-009            
1.2230943e-006  5.3569473e-009            
1.2279867e-006  5.4365829e-009            
1.2328791e-006  5.4432705e-009            
1.2377715e-006  5.2551258e-009            
1.2426638e-006  4.7624866e-009            
1.2475562e-006  4.4532751e-009            
1.2524486e-006  4.7484145e-009            
1.257341e-006  5.3256806e-009            
1.2622333e-006  5.6359551e-009            
1.2671257e-006  5.7177596e-009            
1.2720181e-006  5.7434293e-009            
1.2769105e-006  5.7759799e-009            
1.2818028e-006  5.858043e-009            
1.2866952e-006  5.7723242e-009            
1.2915876e-006  5.7390543e-009            
1.29648e-006  5.6902637e-009            
1.3013724e-006  5.6463479e-009            
1.3062647e-006  5.6152272e-009            
1.3111571e-006  5.6028504e-009            
1.3160495e-006  5.5385673e-009            
1.3209419e-006  5.5549587e-009            
1.3258342e-006  5.6513153e-009            
1.3307266e-006  5.7004909e-009            
1.335619e-006  5.6739769e-009            
1.3405114e-006  5.7454819e-009            
1.3454038e-006  5.7946076e-009            
1.3502961e-006  5.7648391e-009            
1.3551885e-006  5.7167712e-009            
1.3600809e-006  5.5819872e-009            
1.3649733e-006  5.2912962e-009            
1.3698656e-006  5.0254309e-009            
1.374758e-006  4.9043433e-009            
1.3796504e-006  4.8676679e-009            
1.3845428e-006  4.8773175e-009            
1.3894351e-006  4.8674335e-009            
1.3943275e-006  4.6534656e-009            
1.3992199e-006  4.3163637e-009            
1.4041123e-006  3.9648799e-009            
1.4090047e-006  3.7859367e-009            
1.413897e-006  4.1690407e-009            
1.4187894e-006  4.3181556e-009            
1.4236818e-006  4.3069193e-009            
1.4285742e-006  4.3178505e-009            
1.4334665e-006  4.3883166e-009            
1.4383589e-006  4.4144428e-009            
1.4432513e-006  4.469499e-009            
1.4481437e-006  4.8110898e-009            
1.4530361e-006  5.0407006e-009            
1.4579284e-006  5.121003e-009            
1.4628208e-006  4.7978974e-009            
1.4677132e-006  4.7030699e-009            
1.4726056e-006  4.9303241e-009            
1.4774979e-006  5.1261613e-009            
1.4823903e-006  5.0266809e-009            
1.4872827e-006  4.8804578e-009            
1.4921751e-006  4.9045181e-009            
1.4970674e-006  5.024825e-009            
1.5019598e-006  5.109298e-009            
1.5068522e-006  5.1746565e-009            
1.5117446e-006  5.1435068e-009            
1.516637e-006  5.0481317e-009            
1.5215293e-006  4.993224e-009            
1.5264217e-006  4.8255125e-009            
1.5313141e-006  4.3192873e-009            
1.5362065e-006  3.9406449e-009            
1.5410988e-006  4.3217288e-009            
1.5459912e-006  4.6251103e-009            
1.5508836e-006  4.7473539e-009            
1.555776e-006  4.7455313e-009            
1.5606684e-006  4.7341215e-009            
1.5655607e-006  4.8564662e-009            
1.5704531e-006  4.9158417e-009            
1.5753455e-006  4.9142366e-009            
1.5802379e-006  5.0254406e-009            
1.5851302e-006  5.1244466e-009            
1.5900226e-006  5.1230197e-009            
1.594915e-006  5.1230815e-009            
1.5998074e-006  5.1637226e-009            
1.6046997e-006  5.2257185e-009            
1.6095921e-006  5.2711821e-009            
1.6144845e-006  5.276724e-009            
1.6193769e-006  5.2130483e-009            
1.6242693e-006  5.0950036e-009            
1.6291616e-006  4.9773566e-009            
1.634054e-006  4.9440714e-009            
1.6389464e-006  5.2830443e-009            
1.6438388e-006  5.729379e-009            
1.6487311e-006  5.5517625e-009            
1.6536235e-006  5.0264254e-009            
1.6585159e-006  4.8497319e-009            
1.6634083e-006  4.7670634e-009            
1.6683007e-006  4.717668e-009            
1.673193e-006  5.3944997e-009            
1.6780854e-006  5.7984936e-009            
1.6829778e-006  5.953189e-009            
1.6878702e-006  6.0461809e-009            
1.6927625e-006  6.072988e-009            
1.6976549e-006  6.0349535e-009            
1.7025473e-006  6.0545947e-009            
1.7074397e-006  5.8159e-009            
1.712332e-006  5.4759672e-009            
1.7172244e-006  5.6836073e-009            
1.7221168e-006  5.9982527e-009            
1.7270092e-006  6.1877072e-009            
1.7319016e-006  6.1671108e-009            
1.7367939e-006  5.8080208e-009            
1.7416863e-006  5.5979341e-009            
1.7465787e-006  5.7979664e-009            
1.7514711e-006  6.0410627e-009            
1.7563634e-006  6.2200704e-009            
1.7612558e-006  6.5084523e-009            
1.7661482e-006  6.6750685e-009            
1.7710406e-006  6.6021543e-009            
1.775933e-006  6.4725889e-009            
1.7808253e-006  6.4284534e-009            
1.7857177e-006  6.2476926e-009            
1.7906101e-006  5.982628e-009            
1.7955025e-006  6.3124979e-009            
1.8003948e-006  6.7409838e-009            
1.8052872e-006  6.999701e-009            
1.8101796e-006  7.1125677e-009            
1.815072e-006  7.102526e-009            
1.8199643e-006  7.0216538e-009            
1.8248567e-006  6.928707e-009            
1.8297491e-006  6.8562981e-009            
1.8346415e-006  6.8381316e-009            
1.8395339e-006  6.8210336e-009            
1.8444262e-006  6.8856975e-009            
1.8493186e-006  7.0079798e-009            
1.854211e-006  7.1580671e-009            
1.8591034e-006  7.2413686e-009            
1.8639957e-006  7.2957765e-009            
1.8688881e-006  7.2682012e-009            
1.8737805e-006  7.3051958e-009            
1.8786729e-006  7.4476157e-009            
1.8835653e-006  7.5288283e-009            
1.8884576e-006  7.4676254e-009            
1.89335e-006  7.4516138e-009            
1.8982424e-006  7.4972777e-009            
1.9031348e-006  7.5727473e-009            
1.9080271e-006  7.7361347e-009            
1.9129195e-006  7.9628554e-009            
1.9178119e-006  8.0866787e-009            
1.9227043e-006  8.1887849e-009            
1.9275966e-006  8.3531229e-009            
1.932489e-006  8.5910092e-009            
1.9373814e-006  8.748677e-009            
1.9422738e-006  8.7539313e-009            
1.9471662e-006  8.5475941e-009            
1.9520585e-006  8.1125354e-009            
1.9569509e-006  7.690129e-009            
1.9618433e-006  7.1920377e-009            
1.9667357e-006  6.7915535e-009            
1.971628e-006  7.1552681e-009            
1.9765204e-006  8.0592137e-009            
1.9814128e-006  8.3551465e-009            
1.9863052e-006  8.4114423e-009            
1.9911976e-006  8.3597748e-009            
1.9960899e-006  8.4632589e-009            
2.0009823e-006  8.5357791e-009            
2.0058747e-006  8.4691934e-009            
2.0107671e-006  8.4137765e-009            
2.0156594e-006  8.421671e-009            
2.0205518e-006  8.4529847e-009            
2.0254442e-006  8.4617868e-009            
2.0303366e-006  8.40554e-009            
2.0352289e-006  8.360724e-009            
2.0401213e-006  8.248171e-009            
2.0450137e-006  8.1066324e-009            
2.0499061e-006  8.0107763e-009            
2.0547985e-006  7.8791808e-009            
2.0596908e-006  7.6551014e-009            
2.0645832e-006  7.0985657e-009            
2.0694756e-006  6.9688926e-009            
2.074368e-006  7.4352617e-009            
2.0792603e-006  7.6742019e-009            
2.0841527e-006  7.8569281e-009            
2.0890451e-006  7.8752562e-009            
2.0939375e-006  7.8483624e-009            
2.0988299e-006  7.6897027e-009            
2.1037222e-006  7.607102e-009            
2.1086146e-006  7.5226869e-009            
2.113507e-006  7.3577026e-009            
2.1183994e-006  7.1487756e-009            
2.1232917e-006  7.0486455e-009            
2.1281841e-006  6.9168063e-009            
2.1330765e-006  6.8168478e-009            
2.1379689e-006  6.8087816e-009            
2.1428612e-006  6.8605865e-009            
2.1477536e-006  6.9266996e-009            
2.152646e-006  7.1165568e-009            
2.1575384e-006  7.2822999e-009            
2.1624308e-006  7.2412615e-009            
2.1673231e-006  7.1842185e-009            
2.1722155e-006  7.1249011e-009            
2.1771079e-006  7.1550294e-009            
2.1820003e-006  7.2872824e-009            
2.1868926e-006  7.2773893e-009            
2.191785e-006  7.2094952e-009            
2.1966774e-006  7.0960073e-009            
2.2015698e-006  6.8827087e-009            
2.2064622e-006  6.5922926e-009            
2.2113545e-006  6.1927974e-009            
2.2162469e-006  5.9097575e-009            
2.2211393e-006  6.4829277e-009            
2.2260317e-006  6.6645662e-009            
2.230924e-006  6.6438981e-009            
2.2358164e-006  6.8056642e-009            
2.2407088e-006  6.5371104e-009            
2.2456012e-006  6.0647462e-009            
2.2504935e-006  5.9111076e-009            
2.2553859e-006  5.9746677e-009            
2.2602783e-006  6.0353889e-009            
2.2651707e-006  6.1417016e-009            
2.2700631e-006  6.2196149e-009            
2.2749554e-006  6.2704141e-009            
2.2798478e-006  6.2258548e-009            
2.2847402e-006  5.659592e-009            
2.2896326e-006  5.1965216e-009            
2.2945249e-006  4.8769156e-009            
2.2994173e-006  4.9780537e-009            
2.3043097e-006  5.2201849e-009            
2.3092021e-006  5.4762194e-009            
2.3140945e-006  5.6772975e-009            
2.3189868e-006  5.8025132e-009            
2.3238792e-006  5.8408435e-009            
2.3287716e-006  5.7942373e-009            
2.333664e-006  5.7400041e-009            
2.3385563e-006  5.6192451e-009            
2.3434487e-006  5.4451631e-009            
2.3483411e-006  5.2048397e-009            
2.3532335e-006  5.1048553e-009            
2.3581258e-006  5.0071277e-009            
2.3630182e-006  4.9699715e-009            
2.3679106e-006  4.8918559e-009            
2.372803e-006  4.9573008e-009            
2.3776954e-006  4.9599394e-009            
2.3825877e-006  4.6082469e-009            
2.3874801e-006  4.3867626e-009            
2.3923725e-006  4.4123095e-009            
2.3972649e-006  4.5030438e-009            
2.4021572e-006  4.6706508e-009            
2.4070496e-006  4.6541343e-009            
2.411942e-006  4.6337122e-009            
2.4168344e-006  4.7347086e-009            
2.4217268e-006  4.90423e-009            
2.4266191e-006  5.0314794e-009            
2.4315115e-006  4.8124791e-009            
2.4364039e-006  4.7838437e-009            
2.4412963e-006  4.9757645e-009            
2.4461886e-006  4.8139299e-009            
2.451081e-006  4.541952e-009            
2.4559734e-006  4.6068062e-009            
2.4608658e-006  5.0065056e-009            
2.4657581e-006  5.2781567e-009            
2.4706505e-006  5.4064717e-009            
2.4755429e-006  5.4780263e-009            
2.4804353e-006  5.3168661e-009            
2.4853277e-006  4.9144413e-009            
2.49022e-006  4.4920233e-009            
2.4951124e-006  4.3513751e-009            
2.5000048e-006  4.245976e-009            
