Profile 1             
x       y           
[m]     [m]         
0  3.8510279e-009            
4.8923773e-009  3.8738274e-009            
9.7847545e-009  3.8301865e-009            
1.4677132e-008  3.8571951e-009            
1.9569509e-008  3.8573633e-009            
2.4461886e-008  3.8625308e-009            
2.9354264e-008  3.8115746e-009            
3.4246641e-008  3.595801e-009            
3.9139018e-008  3.5106224e-009            
4.4031395e-008  3.6885946e-009            
4.8923773e-008  3.9381612e-009            
5.381615e-008  3.9849575e-009            
5.8708527e-008  3.9949361e-009            
6.3600905e-008  3.9744923e-009            
6.8493282e-008  3.915219e-009            
7.3385659e-008  3.845391e-009            
7.8278036e-008  3.4213745e-009            
8.3170414e-008  3.3487312e-009            
8.8062791e-008  3.7191924e-009            
9.2955168e-008  4.0395779e-009            
9.7847545e-008  4.0758209e-009            
1.0273992e-007  4.0357862e-009            
1.076323e-007  3.9778733e-009            
1.1252468e-007  3.9122182e-009            
1.1741705e-007  3.9656817e-009            
1.2230943e-007  4.0079376e-009            
1.2720181e-007  3.990297e-009            
1.3209419e-007  3.8754328e-009            
1.3698656e-007  3.9442325e-009            
1.4187894e-007  3.9841263e-009            
1.4677132e-007  4.0048752e-009            
1.516637e-007  3.9769469e-009            
1.5655607e-007  3.887796e-009            
1.6144845e-007  3.9127012e-009            
1.6634083e-007  3.9314762e-009            
1.712332e-007  3.9329012e-009            
1.7612558e-007  4.0303152e-009            
1.8101796e-007  4.0338633e-009            
1.8591034e-007  4.0025603e-009            
1.9080271e-007  3.9555197e-009            
1.9569509e-007  3.858071e-009            
2.0058747e-007  3.7506113e-009            
2.0547985e-007  3.7384577e-009            
2.1037222e-007  3.7809179e-009            
2.152646e-007  3.8336966e-009            
2.2015698e-007  3.8856117e-009            
2.2504935e-007  3.9397077e-009            
2.2994173e-007  3.9033735e-009            
2.3483411e-007  3.7789843e-009            
2.3972649e-007  3.7466821e-009            
2.4461886e-007  3.8370402e-009            
2.4951124e-007  3.8975069e-009            
2.5440362e-007  3.8421294e-009            
2.59296e-007  3.5609507e-009            
2.6418837e-007  2.8388705e-009            
2.6908075e-007  2.4495945e-009            
2.7397313e-007  2.9296319e-009            
2.788655e-007  3.5851772e-009            
2.8375788e-007  3.666906e-009            
2.8865026e-007  3.745341e-009            
2.9354264e-007  3.9192127e-009            
2.9843501e-007  3.9826132e-009            
3.0332739e-007  3.9436373e-009            
3.0821977e-007  3.9662659e-009            
3.1311215e-007  3.9845779e-009            
3.1800452e-007  3.9814937e-009            
3.228969e-007  3.9363502e-009            
3.2778928e-007  3.9080242e-009            
3.3268165e-007  3.8003156e-009            
3.3757403e-007  3.7565433e-009            
3.4246641e-007  3.810314e-009            
3.4735879e-007  3.7996172e-009            
3.5225116e-007  3.9636224e-009            
3.5714354e-007  4.001598e-009            
3.6203592e-007  3.98826e-009            
3.669283e-007  3.9464156e-009            
3.7182067e-007  3.8707979e-009            
3.7671305e-007  3.8439264e-009            
3.8160543e-007  3.8598888e-009            
3.864978e-007  3.8219219e-009            
3.9139018e-007  3.7813584e-009            
3.9628256e-007  3.7683983e-009            
4.0117494e-007  3.7255822e-009            
4.0606731e-007  3.6361193e-009            
4.1095969e-007  3.8220907e-009            
4.1585207e-007  3.8120598e-009            
4.2074445e-007  3.6491357e-009            
4.2563682e-007  3.7064577e-009            
4.305292e-007  3.6376079e-009            
4.3542158e-007  3.6832315e-009            
4.4031395e-007  3.8044998e-009            
4.4520633e-007  3.8130565e-009            
4.5009871e-007  3.749116e-009            
4.5499109e-007  3.7113115e-009            
4.5988346e-007  3.6849135e-009            
4.6477584e-007  3.7004118e-009            
4.6966822e-007  3.6633216e-009            
4.745606e-007  3.675974e-009            
4.7945297e-007  3.7626076e-009            
4.8434535e-007  3.7495238e-009            
4.8923773e-007  3.6936595e-009            
4.941301e-007  3.5515225e-009            
4.9902248e-007  3.5506595e-009            
5.0391486e-007  3.707164e-009            
5.0880724e-007  3.7937609e-009            
5.1369961e-007  3.8063054e-009            
5.1859199e-007  3.8288528e-009            
5.2348437e-007  3.801974e-009            
5.2837675e-007  3.7001077e-009            
5.3326912e-007  3.6599308e-009            
5.381615e-007  3.6872918e-009            
5.4305388e-007  3.7176724e-009            
5.4794625e-007  3.7643908e-009            
5.5283863e-007  3.8985197e-009            
5.5773101e-007  3.9218386e-009            
5.6262339e-007  3.9073009e-009            
5.6751576e-007  3.816347e-009            
5.7240814e-007  3.6737563e-009            
5.7730052e-007  3.7315747e-009            
5.821929e-007  3.7574901e-009            
5.8708527e-007  3.6440018e-009            
5.9197765e-007  3.6437448e-009            
5.9687003e-007  3.6916319e-009            
6.017624e-007  3.8277922e-009            
6.0665478e-007  3.8046993e-009            
6.1154716e-007  3.7254193e-009            
6.1643954e-007  3.787586e-009            
6.2133191e-007  3.72776e-009            
6.2622429e-007  3.7903639e-009            
6.3111667e-007  3.8759658e-009            
6.3600905e-007  3.9049173e-009            
6.4090142e-007  3.8698294e-009            
6.457938e-007  3.8984592e-009            
6.5068618e-007  4.0803872e-009            
6.5557855e-007  4.168182e-009            
6.6047093e-007  4.1987539e-009            
6.6536331e-007  4.1545914e-009            
6.7025569e-007  3.9674633e-009            
6.7514806e-007  3.9166842e-009            
6.8004044e-007  3.9676479e-009            
6.8493282e-007  4.0020695e-009            
6.898252e-007  3.89131e-009            
6.9471757e-007  3.838895e-009            
6.9960995e-007  3.8359245e-009            
7.0450233e-007  3.8316251e-009            
7.093947e-007  3.868485e-009            
7.1428708e-007  3.8892917e-009            
7.1917946e-007  3.8994149e-009            
7.2407184e-007  3.8340203e-009            
7.2896421e-007  3.8898461e-009            
7.3385659e-007  3.9335526e-009            
7.3874897e-007  3.8335077e-009            
7.4364135e-007  3.8516311e-009            
7.4853372e-007  3.7890584e-009            
7.534261e-007  3.8626287e-009            
7.5831848e-007  3.9385401e-009            
7.6321085e-007  4.0031142e-009            
7.6810323e-007  4.0400177e-009            
7.7299561e-007  4.0042384e-009            
7.7788799e-007  4.0689029e-009            
7.8278036e-007  3.9136774e-009            
7.8767274e-007  3.7237952e-009            
7.9256512e-007  3.7817588e-009            
7.974575e-007  3.8509897e-009            
8.0234987e-007  3.8495502e-009            
8.0724225e-007  3.9130916e-009            
8.1213463e-007  4.0171269e-009            
8.17027e-007  3.9880119e-009            
8.2191938e-007  3.9653953e-009            
8.2681176e-007  3.942955e-009            
8.3170414e-007  3.9794453e-009            
8.3659651e-007  3.988836e-009            
8.4148889e-007  3.9316826e-009            
8.4638127e-007  3.728898e-009            
8.5127365e-007  3.8515772e-009            
8.5616602e-007  3.958191e-009            
8.610584e-007  3.8357694e-009            
8.6595078e-007  3.7197984e-009            
8.7084315e-007  3.8554704e-009            
8.7573553e-007  3.8245298e-009            
8.8062791e-007  3.8294799e-009            
8.8552029e-007  3.8243387e-009            
8.9041266e-007  3.8479927e-009            
8.9530504e-007  3.9375968e-009            
9.0019742e-007  3.8748323e-009            
9.050898e-007  3.8931541e-009            
9.0998217e-007  3.9948807e-009            
9.1487455e-007  4.0186362e-009            
9.1976693e-007  3.9450961e-009            
9.246593e-007  3.9196839e-009            
9.2955168e-007  3.7842766e-009            
9.3444406e-007  3.8142615e-009            
9.3933644e-007  3.9341869e-009            
9.4422881e-007  3.9616813e-009            
9.4912119e-007  4.0140048e-009            
9.5401357e-007  4.1764043e-009            
9.5890595e-007  4.2982268e-009            
9.6379832e-007  4.2862834e-009            
9.686907e-007  4.1774315e-009            
9.7358308e-007  4.0159413e-009            
9.7847545e-007  3.9269002e-009            
9.8336783e-007  3.8462393e-009            
9.8826021e-007  3.7969424e-009            
9.9315259e-007  3.7547274e-009            
9.9804496e-007  3.7483881e-009            
1.0029373e-006  3.7962669e-009            
1.0078297e-006  3.773423e-009            
1.0127221e-006  3.7064085e-009            
1.0176145e-006  3.7587583e-009            
1.0225069e-006  3.7160937e-009            
1.0273992e-006  3.7138609e-009            
1.0322916e-006  3.7089256e-009            
1.037184e-006  3.7433997e-009            
1.0420764e-006  3.8279767e-009            
1.0469687e-006  3.7666788e-009            
1.0518611e-006  3.5585673e-009            
1.0567535e-006  3.1692649e-009            
1.0616459e-006  3.067559e-009            
1.0665382e-006  2.7133953e-009            
1.0714306e-006  2.0596157e-009            
1.076323e-006  1.4825449e-009            
1.0812154e-006  1.4954111e-009            
1.0861078e-006  2.9399565e-009            
1.0910001e-006  3.5300166e-009            
1.0958925e-006  3.7000985e-009            
1.1007849e-006  3.8691582e-009            
1.1056773e-006  4.0097023e-009            
1.1105696e-006  4.0600082e-009            
1.115462e-006  4.080284e-009            
1.1203544e-006  4.0633976e-009            
1.1252468e-006  4.048029e-009            
1.1301392e-006  4.1237331e-009            
1.1350315e-006  4.1721686e-009            
1.1399239e-006  4.0818144e-009            
1.1448163e-006  4.0538395e-009            
1.1497087e-006  4.085187e-009            
1.154601e-006  4.0495601e-009            
1.1594934e-006  4.0959999e-009            
1.1643858e-006  4.0727765e-009            
1.1692782e-006  4.0317175e-009            
1.1741705e-006  3.9913053e-009            
1.1790629e-006  3.9826826e-009            
1.1839553e-006  4.0570487e-009            
1.1888477e-006  4.1198757e-009            
1.1937401e-006  4.184756e-009            
1.1986324e-006  4.2445962e-009            
1.2035248e-006  4.2769562e-009            
1.2084172e-006  3.8475526e-009            
1.2133096e-006  3.2896239e-009            
1.2182019e-006  3.0043658e-009            
1.2230943e-006  2.9747578e-009            
1.2279867e-006  3.7002536e-009            
1.2328791e-006  4.1305527e-009            
1.2377715e-006  4.2914972e-009            
1.2426638e-006  4.2564009e-009            
1.2475562e-006  4.24807e-009            
1.2524486e-006  4.2036947e-009            
1.257341e-006  3.9437559e-009            
1.2622333e-006  3.4923842e-009            
1.2671257e-006  3.5278412e-009            
1.2720181e-006  3.7452729e-009            
1.2769105e-006  3.7997859e-009            
1.2818028e-006  3.5036853e-009            
1.2866952e-006  3.8155645e-009            
1.2915876e-006  4.0977106e-009            
1.29648e-006  4.1316182e-009            
1.3013724e-006  4.2220239e-009            
1.3062647e-006  4.1650866e-009            
1.3111571e-006  4.0851628e-009            
1.3160495e-006  3.9198087e-009            
1.3209419e-006  4.2707622e-009            
1.3258342e-006  4.209436e-009            
1.3307266e-006  4.2243829e-009            
1.335619e-006  4.290479e-009            
1.3405114e-006  4.3543888e-009            
1.3454038e-006  4.4205198e-009            
1.3502961e-006  4.4211881e-009            
1.3551885e-006  4.2975258e-009            
1.3600809e-006  4.0312412e-009            
1.3649733e-006  4.1339377e-009            
1.3698656e-006  4.3363789e-009            
1.374758e-006  4.3307294e-009            
1.3796504e-006  4.2835619e-009            
1.3845428e-006  4.2635528e-009            
1.3894351e-006  4.1336637e-009            
1.3943275e-006  4.1312978e-009            
