03Dfront             
x       y           
[m]     [m]         
0  4.7731289e-009            
4.8923679e-009  4.803092e-009            
9.7847358e-009  4.7529058e-009            
1.4677104e-008  4.8863808e-009            
1.9569472e-008  4.9494836e-009            
2.446184e-008  4.8926467e-009            
2.9354207e-008  4.8939039e-009            
3.4246575e-008  4.9682617e-009            
3.9138943e-008  4.9519542e-009            
4.4031311e-008  5.0268804e-009            
4.8923679e-008  5.1435865e-009            
5.3816047e-008  5.1005058e-009            
5.8708415e-008  4.972501e-009            
6.3600783e-008  4.8812739e-009            
6.8493151e-008  4.7811224e-009            
7.3385519e-008  4.7195108e-009            
7.8277886e-008  4.7507812e-009            
8.3170254e-008  4.7967173e-009            
8.8062622e-008  4.779614e-009            
9.295499e-008  4.7871808e-009            
9.7847358e-008  4.8903582e-009            
1.0273973e-007  4.9107716e-009            
1.0763209e-007  4.8035146e-009            
1.1252446e-007  4.7411072e-009            
1.1741683e-007  4.7111004e-009            
1.223092e-007  4.6873465e-009            
1.2720157e-007  4.6368761e-009            
1.3209393e-007  4.5942501e-009            
1.369863e-007  4.5326385e-009            
1.4187867e-007  4.4726752e-009            
1.4677104e-007  4.5095164e-009            
1.5166341e-007  4.5008259e-009            
1.5655577e-007  4.5869503e-009            
1.6144814e-007  4.4597413e-009            
1.6634051e-007  4.3796555e-009            
1.7123288e-007  4.1404082e-009            
1.7612524e-007  4.3318066e-009            
1.8101761e-007  4.6511026e-009            
1.8590998e-007  4.1410532e-009            
1.9080235e-007  4.4364182e-009            
1.9569472e-007  4.5627309e-009            
2.0058708e-007  4.4062476e-009            
2.0547945e-007  4.6862648e-009            
2.1037182e-007  4.6457989e-009            
2.1526419e-007  4.6511488e-009            
2.2015656e-007  4.6227905e-009            
2.2504892e-007  4.5926132e-009            
2.2994129e-007  4.550101e-009            
2.3483366e-007  4.5132162e-009            
2.3972603e-007  4.6331055e-009            
2.446184e-007  4.7785744e-009            
2.4951076e-007  4.7508983e-009            
2.5440313e-007  4.824176e-009            
2.592955e-007  4.8304923e-009            
2.6418787e-007  4.8050898e-009            
2.6908023e-007  4.8366445e-009            
2.739726e-007  4.8092526e-009            
2.7886497e-007  4.7013704e-009            
2.8375734e-007  4.6926231e-009            
2.8864971e-007  4.3940312e-009            
2.9354207e-007  4.1182335e-009            
2.9843444e-007  4.722372e-009            
3.0332681e-007  4.7198206e-009            
3.0821918e-007  4.7003868e-009            
3.1311155e-007  4.6636725e-009            
3.1800391e-007  4.687326e-009            
3.2289628e-007  4.6680058e-009            
3.2778865e-007  4.6008235e-009            
3.3268102e-007  4.6933143e-009            
3.3757339e-007  4.6785984e-009            
3.4246575e-007  4.6159636e-009            
3.4735812e-007  4.5054097e-009            
3.5225049e-007  4.082956e-009            
3.5714286e-007  3.0138516e-009            
3.6203523e-007  3.7382139e-009            
3.6692759e-007  4.6944973e-009            
3.7181996e-007  4.6292477e-009            
3.7671233e-007  4.646762e-009            
3.816047e-007  4.6439264e-009            
3.8649706e-007  4.6935005e-009            
3.9138943e-007  4.7204509e-009            
3.962818e-007  4.6915242e-009            
4.0117417e-007  4.6436686e-009            
4.0606654e-007  4.6028048e-009            
4.109589e-007  4.5413068e-009            
4.1585127e-007  4.0568938e-009            
4.2074364e-007  4.2175399e-009            
4.2563601e-007  4.4817547e-009            
4.3052838e-007  4.5049534e-009            
4.3542074e-007  4.583006e-009            
4.4031311e-007  4.4631866e-009            
4.4520548e-007  4.3538833e-009            
4.5009785e-007  4.333881e-009            
4.5499022e-007  4.3142198e-009            
4.5988258e-007  4.2604525e-009            
4.6477495e-007  4.2681898e-009            
4.6966732e-007  4.2935486e-009            
4.7455969e-007  4.3552871e-009            
4.7945205e-007  4.427087e-009            
4.8434442e-007  4.4943393e-009            
4.8923679e-007  4.5228813e-009            
4.9412916e-007  4.4751394e-009            
4.9902153e-007  4.5538173e-009            
5.0391389e-007  4.5634304e-009            
5.0880626e-007  4.5546832e-009            
5.1369863e-007  4.434068e-009            
5.18591e-007  4.4105414e-009            
5.2348337e-007  4.2787281e-009            
5.2837573e-007  4.167549e-009            
5.332681e-007  4.1141228e-009            
5.3816047e-007  4.1752929e-009            
5.4305284e-007  3.7268618e-009            
5.4794521e-007  3.8098597e-009            
5.5283757e-007  4.1348402e-009            
5.5772994e-007  4.3162909e-009            
5.6262231e-007  4.2853747e-009            
5.6751468e-007  4.3107335e-009            
5.7240705e-007  4.4281217e-009            
5.7729941e-007  4.3969213e-009            
5.8219178e-007  4.3699272e-009            
5.8708415e-007  4.3421374e-009            
5.9197652e-007  4.2440323e-009            
5.9686888e-007  4.2791112e-009            
6.0176125e-007  4.2247755e-009            
6.0665362e-007  4.1321273e-009            
6.1154599e-007  4.1119545e-009            
6.1643836e-007  4.2069465e-009            
6.2133072e-007  4.3123976e-009            
6.2622309e-007  4.3474197e-009            
6.3111546e-007  4.2665382e-009            
6.3600783e-007  4.2506286e-009            
6.409002e-007  4.2332979e-009            
6.4579256e-007  4.282872e-009            
6.5068493e-007  4.3463158e-009            
6.555773e-007  4.3277915e-009            
6.6046967e-007  4.0589287e-009            
6.6536204e-007  4.2058187e-009            
6.702544e-007  4.2872819e-009            
6.7514677e-007  4.3169608e-009            
6.8003914e-007  4.4337806e-009            
6.8493151e-007  4.5599227e-009            
6.8982387e-007  4.6130779e-009            
6.9471624e-007  4.5958041e-009            
6.9960861e-007  4.5618183e-009            
7.0450098e-007  4.456892e-009            
7.0939335e-007  4.5248264e-009            
7.1428571e-007  4.4992535e-009            
7.1917808e-007  4.4179172e-009            
7.2407045e-007  4.5179682e-009            
7.2896282e-007  4.5510576e-009            
7.3385519e-007  4.5805091e-009            
7.3874755e-007  4.5992172e-009            
7.4363992e-007  4.5408456e-009            
7.4853229e-007  4.597184e-009            
7.5342466e-007  4.6642658e-009            
7.5831703e-007  4.6164671e-009            
7.6320939e-007  4.6260234e-009            
7.6810176e-007  4.5399691e-009            
7.7299413e-007  4.5308807e-009            
7.778865e-007  4.6216662e-009            
7.8277886e-007  4.7106328e-009            
7.8767123e-007  4.7389474e-009            
7.925636e-007  4.7800518e-009            
7.9745597e-007  4.6708622e-009            
8.0234834e-007  4.5624684e-009            
8.072407e-007  4.5655445e-009            
8.1213307e-007  4.5337756e-009            
8.1702544e-007  4.6066555e-009            
8.2191781e-007  4.5547072e-009            
8.2681018e-007  4.5751774e-009            
8.3170254e-007  4.5755251e-009            
8.3659491e-007  4.4314336e-009            
8.4148728e-007  4.1803628e-009            
8.4637965e-007  4.6439275e-009            
8.5127202e-007  4.7223211e-009            
8.5616438e-007  4.7917904e-009            
8.6105675e-007  4.756213e-009            
8.6594912e-007  4.5878494e-009            
8.7084149e-007  4.7902754e-009            
8.7573386e-007  4.7723763e-009            
8.8062622e-007  4.7617532e-009            
8.8551859e-007  4.7642609e-009            
8.9041096e-007  4.6352329e-009            
8.9530333e-007  4.4997816e-009            
9.0019569e-007  4.2491088e-009            
9.0508806e-007  3.8588284e-009            
9.0998043e-007  4.6358277e-009            
9.148728e-007  4.5988861e-009            
9.1976517e-007  4.3311033e-009            
9.2465753e-007  3.8828427e-009            
9.295499e-007  4.5289885e-009            
9.3444227e-007  4.6476273e-009            
