01C             
x       y           
[m]     [m]         
0  1.0950203e-008            
4.8923679e-009  1.2261467e-008            
9.7847358e-009  1.3585009e-008            
1.4677104e-008  1.3770318e-008            
1.9569472e-008  1.3117415e-008            
2.446184e-008  1.2101964e-008            
2.9354207e-008  1.1228508e-008            
3.4246575e-008  1.0123017e-008            
3.9138943e-008  8.3468876e-009            
4.4031311e-008  8.4799012e-009            
4.8923679e-008  9.1855554e-009            
5.3816047e-008  1.0579015e-008            
5.8708415e-008  1.0660415e-008            
6.3600783e-008  1.0729991e-008            
6.8493151e-008  1.0718395e-008            
7.3385519e-008  1.0692816e-008            
7.8277886e-008  1.0826056e-008            
8.3170254e-008  1.1247266e-008            
8.8062622e-008  1.2115606e-008            
9.295499e-008  1.1957695e-008            
9.7847358e-008  1.1687348e-008            
1.0273973e-007  1.1125621e-008            
1.0763209e-007  1.0668373e-008            
1.1252446e-007  1.0674967e-008            
1.1741683e-007  1.2210762e-008            
1.223092e-007  1.3445174e-008            
1.2720157e-007  1.4332841e-008            
1.3209393e-007  1.525359e-008            
1.369863e-007  1.490389e-008            
1.4187867e-007  1.460694e-008            
1.4677104e-007  1.4425382e-008            
1.5166341e-007  1.4340799e-008            
1.5655577e-007  1.4263037e-008            
1.6144814e-007  1.4160833e-008            
1.6634051e-007  1.3833528e-008            
1.7123288e-007  1.3333192e-008            
1.7612524e-007  1.2430178e-008            
1.8101761e-007  1.1330599e-008            
1.8590998e-007  1.1197585e-008            
1.9080235e-007  1.116166e-008            
1.9569472e-007  1.095998e-008            
2.0058708e-007  1.0023996e-008            
2.0547945e-007  8.5515239e-009            
2.1037182e-007  7.0783699e-009            
2.1526419e-007  6.6332859e-009            
2.2015656e-007  6.6617076e-009            
2.2504892e-007  6.7086603e-009            
2.2994129e-007  6.6244183e-009            
2.3483366e-007  6.6635266e-009            
2.3972603e-007  7.107019e-009            
2.446184e-007  9.397354e-009            
2.4951076e-007  1.1449174e-008            
2.5440313e-007  1.1213615e-008            
2.592955e-007  1.0897907e-008            
2.6418787e-007  1.0818894e-008            
2.6908023e-007  1.1309567e-008            
2.739726e-007  1.2343662e-008            
2.7886497e-007  1.3719955e-008            
2.8375734e-007  1.4907187e-008            
2.8864971e-007  1.5280875e-008            
2.9354207e-007  1.518913e-008            
2.9843444e-007  1.46415e-008            
3.0332681e-007  1.387059e-008            
3.0821918e-007  1.3392764e-008            
3.1311155e-007  1.2994974e-008            
3.1800391e-007  1.2528176e-008            
3.2289628e-007  1.2151759e-008            
3.2778865e-007  1.2040573e-008            
3.3268102e-007  1.2947339e-008            
3.3757339e-007  1.4549755e-008            
3.4246575e-007  1.5792239e-008            
3.4735812e-007  1.6946842e-008            
3.5225049e-007  1.7157731e-008            
3.5714286e-007  1.6599301e-008            
3.6203523e-007  1.5812134e-008            
3.6692759e-007  1.5246655e-008            
3.7181996e-007  1.4830107e-008            
3.7671233e-007  1.4448347e-008            
3.816047e-007  1.3767817e-008            
